date,title,description,location,url_thumb,url_full
2021-04-27,Bureau Intelcom Montreal,,Montréal,/img/photos/realestate/20210427-Intelcom-PhilBoivin-001.jpg,/img/photos/realestate/20210427-Intelcom-PhilBoivin-001.jpg
2019-07-21,Maison à vendre,,Victoriaville,/img/photos/realestate/20190721-realestate-philboivin-001.jpg,/img/photos/realestate/20190721-realestate-philboivin-001.jpg
2019-08-14,Maison de Martin,,Morin Heights,/img/photos/realestate/20190814-realestate-philboivin-002.jpg,/img/photos/realestate/20190814-realestate-philboivin-002.jpg
2019-08-30,Duplex dans la Petite Italie,,Montréal,/img/photos/realestate/20190830-realestate-philboivin-003.jpg,/img/photos/realestate/20190830-realestate-philboivin-003.jpg
2019-03-08,Cinéma Impérial,,Montréal,/img/photos/realestate/20200913-realestate-philboivin-004.jpg,/img/photos/realestate/20200913-realestate-philboivin-004.jpg
